ID,"Source (Author, Title, & Details)",Melville Reference Codes
*83.,"Browne, Sir Thomas, Sir Thomas Browne’s Works, Including His Life and Correspondence, ed. Simon Wilkin (London: Pickering, 1835-36) and The Works . .. With Alphabetical Tables [1st collected ed.] (London: Basset [etc.], 1686). [*Sealts #89 and 90]","R: 181a; M: 21, 80a, 129, 133, 143, 186, 213, 226, 227, 301, 318, 345a, 441, 48If, 623, 686b; MD: 48, 85, 139, 143, 149, 165, 168, 199, 201, 229, 301!, 334, 377c, 397a, 441, 473, 48Id, 481 f, 486, 542; P: 181?; B: 711?; BT: 603; Unspec: 92, 95, 100, 122, 123, 146, 163a, 178, 212, 229a,"
83a.,"Browne, William, [Brittania’s Pastorals, vols. 1 and 2 of] The Works (London: Davies, 1772), 3 vols. [now bound together]; or, Brittania’s Pastorals (London: Clarke, 1845). [*Sealts #91]",MD: 686b
*84.,"Browning, Elizabeth Barrett, The Poems ... A New Edition (New York: Francis, 1860). [*Sealts #93]",
81,"Brown, Charles Brockden, Wieland; or, The Transformation (1798).",R: 359 [r 384]
-,"Browning, Robert.",C: 488a; WW: 488a
*82.,"Browne, John Ross, Etchings of a Whaling Cruise, with Notes of a Sojourn on the Island of Zanzibar. To Which Is Appended a Brief",
84a.,"Browning, Robert, ""Childe Roland to the Dark Tower Came” (1855). C:512b","C: 488a; Unspec: 200, 265, 488a"
-,Sources 84b-97,
84b.,"Browning, Passes (1841).",BP: 488a
-,"Robert, Pippa",
85,"Browning, Robert, The Return of the Druses (1843).","C: 315, 674"
86,"Brownson, Orestes Augustus, The Spirit-Rapper: An Autobiography (1854).","ATT: 508; CM: 394, 440c, 653"
*87.,"Bruce, James, Interesting Narrative of the Travels of James Bruce, Esq. into Abyssinia, to Discover the Source of the Nile (Boston, 1798). [*333]","M: 228, 333!"
*87a.,"Bryant, William Cullen, Poems . . . Collected and Arranged by the Author (New York: Appleton, 1863). PSealts #94)",WW: 440f
*88.,"Buchanan, Robert, “Socrates in Camden,’’ The Academy and Literature (London), 28 (15 August 1885). PSealts #1]","Unspec: 139, 691"
-,Buddha,see 469a.
89,"Buffon, Georges-Louis Leclerc, Comte de.",T: 7
90,"Bulkeley, John, and John Cummins, A Voyage to the South Seas, in the years 1740^11 (1793).",WJ: 543? 91.
-,"Bulwer-Lytton, Edward George Earle Lytton, First Baron, The Last Days of Pompeii (1834).","R: 688?; MD: 213, 302, 439a; Unspec: 137, 688 91a."
-,"Bulwer-Lytton, Edward George Earle Lytton, First Baron, The Last of the Barons (1843). T:512c *91b. Bulwer-Lytton, Edward George Earle Lytton, First Baron, The Pilgrims of the Rhine, new ed. (London: Tilt, 1840). PSealts #333]",CM: 686a 92.
-,"Bulwer-Lytton, Edward George Earle Lytton, First Baron, Zanoni ([New York: Harper, 1842?]). PSealts #334]","P: 504 [r 651b], 511c!, 576b"
93,"Bunyan, John, The Pilgrim’s Progress [1830 ed. with biography by Robert Southey?]. [Sealts #95; *229]","MD: 128a, 229, 377c; P: 181, 551a; CM: 219!, 254, 334, 440c, 705; Unspec: 229a"
94,"Burckhardt, John Lewis, Travels in Syria and the Holy Land (London, 1822).",C: 315?
*95.,"Burke, Edmund, A Philosophical Inquiry into the Origin of Our Ideas of the Sublime and Beautiful with an Introductory Discourse concerning Taste (Philadelphia: Johnson, 1806). PSealts #97]","HHM: 606; MD: 606, 609, 680; MG: 512b; Unspec: 369, 600c"
96,"Burke, Edmund, Reflections on the Revolution in France (1790). FI: 212, 503;","M: 368!; MD: 503; C: 503; BB: 369, 503, 559"
97,"Burney, James, Chronological History of the Discoveries in the South Sea or Pacific Ocean (London: G. & W. Nicol, 1803). [*109]","E: 109!, 173, 180a, 213, 571"
*98.,"Bums, Robert, The Poetical Works ... With Memoir, Critical Dissertation, and Explanatory Notes, by the Rev. George Gilfdlan (Edinburgh: Nichol, 1856). [*Sealts #101]",CM: 440c; Unspec: 200
99,"Burritt, Elijah Hinsdale, Atlas, Designed to Illustrate the Geography of the Heavens ([New York: F. J. Huntington, c. 1835?]). [*658; Sealts #101a]",Unspec: 658
<*100.,"Burton, Robert, The Anatomy of Melancholy (New York: Wiley, 1847). [*Sealts #102; see also Sealts #103]","F: 291b; FI: 123, 178, 212; M: 28, 143, 146, 178, 213, 226, 227, 488, 576d; R: 143, 146; MD: 48, 49, 129, 139,146,163a, 178,182?, 301, 397a, 486; P: 143, 146, 181, 481c, 576b; CDD: 173, 621; BC: 459b, 572; CM: 254, 330a, 459c, 487a, 613, 686a, 705; JM: 512b; Unspec: 84, 92, 122,"
101,"Butler, Joseph, The Analogy of Religion, Natural and Revealed, to the Constitution and Course of Nature (1736).",M: 146?; C: 534c; Unspec: 534c
101a.,"Butler, Bishop, Three Sermons upon Human Nature (1834).",P: 345a?
*102.,"Butler, Samuel, Hudibras. The First [—Third and Last] Part. Written in the Time of the Late Wars. Corrected and Amended. With Several Additions and Annotations (London: Baker, 1710). [*Sealts #104; see also Sealts #105]","O: 480; P: 481c; C: 163a, 181a, 315, 499a, 504a; Unspec: 95, 100"
103,"Byron, George Anson, Lord, Voyage of H.M.S. Blonde to the Sandwich Islands, in the Years 1824-1825 (London, 1826). [*133]","O: 133, 480; MD: 202; Unspec: 571"
104,"Byron, George Gordon Noel Byron, Sixth Baron, The Bride of Abydos (1813). [Sealts #107a]","F: 209, 212; F2: 333"
*105.,"Byron, George Gordon Noel Byron, Sixth Baron, Don Juan (London: Murray, 1837). [*Sealts #108]",F2: 212; M: 226
*106.,"Byron, George Gordon Noel Byron, Sixth Baron, Dramas (London: Murray, 1837). [*Sealts #109] Cain: A Mystery:","MD: 229a, 302; P: 181, 511c!; Unspec: 229a"
-,Sardanapalus:,P: 181
